[2026-05-31 23:43:09] Training latent draft head with clean-latent + flow loss
[2026-05-31 23:43:09] Manifest: /mnt/lanxiangh/data/ff_exec/draft_head_full_dataset/tau_delta_0p0/manifest.json
[2026-05-31 23:43:09] Run dir:   /root/Self-Forcing/outputs/draft_head/checkpoints/20260531_234309_moviegen_draft_head_attention_clean_latent_flow_h5120_l3_heads40_ctx4680_pool1x1x1_ffn13824_steps1000_937_833_625_0_blocks9_targetinit8_16_24
[2026-05-31 23:43:09] Output:    /root/Self-Forcing/outputs/draft_head/checkpoints/20260531_234309_moviegen_draft_head_attention_clean_latent_flow_h5120_l3_heads40_ctx4680_pool1x1x1_ffn13824_steps1000_937_833_625_0_blocks9_targetinit8_16_24/final.pt
[2026-05-31 23:43:09] Layers:   infer from manifest records
[2026-05-31 23:43:09] Head:     attention input_source=scheduled_latents hidden=5120 layers=3 heads=40 ffn_dim=13824
[2026-05-31 23:43:09] Loss:     type=clean_latent_flow clean_latent=1.0 flow=0.25 dmd=0.0 every=1
[2026-05-31 23:43:09] Schedule: [1000 937 833 625 0] timestep_shift=5.0
[2026-05-31 23:43:09] Target init: 8 16 24
[2026-05-31 23:43:09] GPUs:     1 visible=0
[2026-05-31 23:43:09] Epochs:   3 batch_size=2 lr=5e-5
KV inference with 3 frames per block
Training draft head records=8024 train=7623 val=401 layers=['blocks.16', 'blocks.24', 'blocks.8'] latent_channels=16 feature_dim=15360 head_type=attention input_source=scheduled_latents denoising_steps=[1000, 937, 833, 625, 0] loss_type=clean_latent_flow dmd_weight=0.0 world_size=1
Target initialization report: {'attention': 3, 'ffn': 3, 'skipped': 0}
epoch 1:   0%|          | 0/3812 [00:00<?, ?it/s]epoch 1:   0%|          | 0/3812 [00:06<?, ?it/s, avg=1.72, loss=1.72, rmse=1.14, sec=6.36]step=1 epoch=1 batch=1 running_loss=1.722679 running_clean_latent_mse=1.301877 running_clean_latent_rmse=1.140998 step_seconds=6.362927 loss=1.722679 clean_latent_mse=1.301877 clean_latent_loss=1.301877 flow_loss=0.420803
epoch 1:   0%|          | 1/3812 [00:06<6:50:59,  6.47s/it, avg=1.72, loss=1.72, rmse=1.14, sec=6.36]epoch 1:   0%|          | 1/3812 [00:08<6:50:59,  6.47s/it, avg=17, loss=32.3, rmse=3.24, sec=1.65]  step=2 epoch=1 batch=2 running_loss=17.032454 running_clean_latent_mse=10.511374 running_clean_latent_rmse=3.242125 step_seconds=1.649045 loss=32.342228 clean_latent_mse=19.720871 clean_latent_loss=19.720871 flow_loss=12.621358
epoch 1:   0%|          | 2/3812 [00:08<3:54:19,  3.69s/it, avg=17, loss=32.3, rmse=3.24, sec=1.65]epoch 1:   0%|          | 2/3812 [00:14<3:54:19,  3.69s/it, avg=11.8, loss=1.47, rmse=2.71, sec=5.8]step=3 epoch=1 batch=3 running_loss=11.843426 running_clean_latent_mse=7.362917 running_clean_latent_rmse=2.713470 step_seconds=5.803985 loss=1.465369 clean_latent_mse=1.066004 clean_latent_loss=1.066004 flow_loss=0.399365
epoch 1:   0%|          | 3/3812 [00:14<4:58:10,  4.70s/it, avg=11.8, loss=1.47, rmse=2.71, sec=5.8]epoch 1:   0%|          | 3/3812 [00:19<4:58:10,  4.70s/it, avg=9.81, loss=3.7, rmse=2.5, sec=5.8]  step=4 epoch=1 batch=4 running_loss=9.808445 running_clean_latent_mse=6.232714 running_clean_latent_rmse=2.496540 step_seconds=5.797231 loss=3.703501 clean_latent_mse=2.842104 clean_latent_loss=2.842104 flow_loss=0.861398
epoch 1:   0%|          | 4/3812 [00:20<5:28:01,  5.17s/it, avg=9.81, loss=3.7, rmse=2.5, sec=5.8]epoch 1:   0%|          | 4/3812 [00:25<5:28:01,  5.17s/it, avg=8.37, loss=2.59, rmse=2.32, sec=5.81]step=5 epoch=1 batch=5 running_loss=8.365023 running_clean_latent_mse=5.383318 running_clean_latent_rmse=2.320198 step_seconds=5.810401 loss=2.591336 clean_latent_mse=1.985736 clean_latent_loss=1.985736 flow_loss=0.605600
epoch 1:   0%|          | 5/3812 [00:25<5:44:43,  5.43s/it, avg=8.37, loss=2.59, rmse=2.32, sec=5.81]epoch 1:   0%|          | 5/3812 [00:31<5:44:43,  5.43s/it, avg=7.14, loss=1.02, rmse=2.15, sec=5.8] step=6 epoch=1 batch=6 running_loss=7.141201 running_clean_latent_mse=4.618684 running_clean_latent_rmse=2.149112 step_seconds=5.799611 loss=1.022093 clean_latent_mse=0.795512 clean_latent_loss=0.795512 flow_loss=0.226581
epoch 1:   0%|          | 6/3812 [00:31<5:54:30,  5.59s/it, avg=7.14, loss=1.02, rmse=2.15, sec=5.8]epoch 1:   0%|          | 6/3812 [00:37<5:54:30,  5.59s/it, avg=6.28, loss=1.08, rmse=2.02, sec=5.82]step=7 epoch=1 batch=7 running_loss=6.275597 running_clean_latent_mse=4.080795 running_clean_latent_rmse=2.020098 step_seconds=5.818782 loss=1.081969 clean_latent_mse=0.853460 clean_latent_loss=0.853460 flow_loss=0.228509
epoch 1:   0%|          | 7/3812 [00:37<6:01:02,  5.69s/it, avg=6.28, loss=1.08, rmse=2.02, sec=5.82]epoch 1:   0%|          | 7/3812 [00:43<6:01:02,  5.69s/it, avg=5.69, loss=1.6, rmse=1.93, sec=5.8]  step=8 epoch=1 batch=8 running_loss=5.690630 running_clean_latent_mse=3.717062 running_clean_latent_rmse=1.927968 step_seconds=5.795308 loss=1.595859 clean_latent_mse=1.170933 clean_latent_loss=1.170933 flow_loss=0.424926
epoch 1:   0%|          | 8/3812 [00:43<6:04:54,  5.76s/it, avg=5.69, loss=1.6, rmse=1.93, sec=5.8]epoch 1:   0%|          | 8/3812 [00:49<6:04:54,  5.76s/it, avg=5.36, loss=2.75, rmse=1.87, sec=5.8]step=9 epoch=1 batch=9 running_loss=5.363648 running_clean_latent_mse=3.507914 running_clean_latent_rmse=1.872943 step_seconds=5.799912 loss=2.747796 clean_latent_mse=1.834728 clean_latent_loss=1.834728 flow_loss=0.913068
epoch 1:   0%|          | 9/3812 [00:49<6:07:36,  5.80s/it, avg=5.36, loss=2.75, rmse=1.87, sec=5.8]epoch 1:   0%|          | 9/3812 [00:55<6:07:36,  5.80s/it, avg=5, loss=1.74, rmse=1.82, sec=5.78]  step=10 epoch=1 batch=10 running_loss=5.001443 running_clean_latent_mse=3.294556 running_clean_latent_rmse=1.815091 step_seconds=5.784803 loss=1.741595 clean_latent_mse=1.374331 clean_latent_loss=1.374331 flow_loss=0.367265
epoch 1:   0%|          | 10/3812 [00:55<6:09:11,  5.83s/it, avg=5, loss=1.74, rmse=1.82, sec=5.78]epoch 1:   0%|          | 10/3812 [01:01<6:09:11,  5.83s/it, avg=4.67, loss=1.35, rmse=1.76, sec=5.8]step=11 epoch=1 batch=11 running_loss=4.669287 running_clean_latent_mse=3.089032 running_clean_latent_rmse=1.757564 step_seconds=5.799852 loss=1.347735 clean_latent_mse=1.033793 clean_latent_loss=1.033793 flow_loss=0.313942
